city ,city_latitude,city_longitude,bridge_start_lat,bridge_start_lon,bridge_end_lat,bridge_end_lon,node,city_closeness_before_removal,centrality_after_removal
Vico del Gargano,41.898344,15.957554,41.84091,15.85983,41.84088,15.85998,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.84072,15.86013,41.8406,15.86011,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.84271,15.86041,41.84268,15.86054,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.85946,15.834921,41.859521,15.834928,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.910713,15.905479,41.910713,15.907465,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.902613,15.86502,41.902527,15.865487,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.878567,15.839833,41.878595,15.839865,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.90739,15.880307,41.907417,15.880399,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.910225,15.912026,41.910211,15.91212,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.909801,15.894774,41.910316,15.896197,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.908507,15.89095,41.908509,15.891055,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.910658,15.898088,41.910702,15.898727,"41.898439, 15.9573459",2.69E-06,2.69E-06
Vico del Gargano,41.898344,15.957554,41.888615,15.85143,41.88865,15.851492,"41.898439, 15.9573459",2.69E-06,2.69E-06
Accadia,41.158824,15.33145,41.130651,15.432697,41.132687,15.435097,"41.158976, 15.331416",5.60E-06,5.60E-06
Alberona,41.432728,15.123042,41.459216,15.091958,41.463392,15.093473,"41.432761, 15.123159",2.02E-06,2.02E-06
Alberona,41.432728,15.123042,41.498314,15.033444,41.498232,15.033685,"41.432761, 15.123159",2.02E-06,2.02E-06
Alberona,41.432728,15.123042,41.46679,15.094358,41.467331,15.094485,"41.432761, 15.123159",2.02E-06,2.02E-06
Alberona,41.432728,15.123042,41.488131,15.107177,41.488831,15.108816,"41.432761, 15.123159",2.02E-06,2.02E-06
Alberona,41.432728,15.123042,41.489791,15.111826,41.489723,15.113078,"41.432761, 15.123159",2.02E-06,2.02E-06
Alberona,41.432728,15.123042,41.489215,15.119419,41.489653,15.12192,"41.432761, 15.123159",2.02E-06,2.02E-06
Alberona,41.432728,15.123042,41.45557,15.071583,41.456179,15.074445,"41.432761, 15.123159",2.02E-06,2.02E-06
Alberona,41.432728,15.123042,41.486573,15.103845,41.487056,15.104691,"41.432761, 15.123159",2.02E-06,2.02E-06
