OSM ID,Highway Type,Buffer Distance (km),Original Global Efficiency,New Global Efficiency,Change in Efficiency
295910006,motorway,5,0.010880856,0.010703942,-0.000176914
295910006,motorway,10,0.003318916,0.003292919,-2.60E-05
295910006,motorway,15,0.001822442,0.001816033,-6.41E-06
295910006,motorway,20,0.00129912,0.001296689,-2.43E-06
295910006,motorway,25,0.001067862,0.001066248,-1.61E-06
295910006,motorway,30,0.00093822,0.000937366,-8.53E-07
295910006,motorway,35,0.000519363,0.000519061,-3.02E-07
295910006,motorway,40,0.000484639,0.00048357,-1.07E-06
295910006,motorway,45,0.000426212,0.000425291,-9.21E-07
295910006,motorway,50,0.000384196,0.000383412,-7.84E-07
295910006,motorway,60,0.000394472,0.000393769,-7.03E-07
534696006,track,5,0.008935749,0.008849265,-8.65E-05
534696006,track,10,0.003467013,0.003464924,-2.09E-06
534696006,track,15,0.002803982,0.00280295,-1.03E-06
534696006,track,20,0.002329842,0.002329525,-3.18E-07
534696006,track,25,0.00204523,0.002045168,-6.21E-08
534696006,track,30,0.001623782,0.001623753,-2.85E-08
534696006,track,35,0.001269569,0.00126955,-1.94E-08
534696006,track,40,0.001020719,0.001020706,-1.33E-08
534696006,track,45,0.000818051,0.000818042,-8.26E-09
534696006,track,50,0.000635741,0.000635737,-4.72E-09
534696006,track,60,0.000507188,0.000507186,-2.44E-09
686173366,motorway,5,0.013024806,0.012710741,-0.000314065
686173366,motorway,10,0.005042142,0.005013529,-2.86E-05
686173366,motorway,15,0.00205102,0.002049918,-1.10E-06
686173366,motorway,20,0.001830943,0.001830313,-6.30E-07
686173366,motorway,25,0.001248642,0.00124825,-3.92E-07
686173366,motorway,30,0.00104127,0.00103613,-5.14E-06
686173366,motorway,35,0.000897981,0.000896821,-1.16E-06
686173366,motorway,40,0.000753968,0.000753057,-9.12E-07
686173366,motorway,45,0.000647112,0.000646337,-7.75E-07
686173366,motorway,50,0.000554452,0.000553772,-6.81E-07
686173366,motorway,60,0.00047288,0.000471479,-1.40E-06
354654207,secondary,5,0.004784932,0.004763189,-2.17E-05
354654207,secondary,10,0.002488335,0.0024826,-5.74E-06
354654207,secondary,15,0.001856055,0.001852577,-3.48E-06
354654207,secondary,20,0.001653195,0.001652526,-6.69E-07
354654207,secondary,25,0.001176814,0.001176451,-3.63E-07
354654207,secondary,30,0.000790366,0.00079027,-9.63E-08
354654207,secondary,35,0.000678643,0.000678571,-7.21E-08
354654207,secondary,40,0.000594888,0.000594831,-5.66E-08
354654207,secondary,45,0.000464263,0.000464228,-3.44E-08
354654207,secondary,50,0.000428672,0.000428649,-2.33E-08
354654207,secondary,60,0.000404514,0.000404503,-1.04E-08
174510678,secondary,5,0.019177863,0.018986549,-0.000191314
174510678,secondary,10,0.005784409,0.005765193,-1.92E-05
174510678,secondary,15,0.003356368,0.003351704,-4.66E-06
174510678,secondary,20,0.00160199,0.001601177,-8.13E-07
174510678,secondary,25,0.001164497,0.001164094,-4.03E-07
174510678,secondary,30,0.00097969,0.000979405,-2.85E-07
174510678,secondary,35,0.000679713,0.000679618,-9.51E-08
174510678,secondary,40,0.000545008,0.000544966,-4.23E-08
174510678,secondary,45,0.000443959,0.000443933,-2.56E-08
174510678,secondary,50,0.000392581,0.000392562,-1.97E-08
174510678,secondary,60,0.000334429,0.000334416,-1.26E-08
754095463,track,5,0.007185634,0.007165665,-2.00E-05
754095463,track,10,0.004839973,0.004838827,-1.15E-06
754095463,track,15,0.003259706,0.003259625,-8.10E-08
754095463,track,20,0.002764649,0.0027646,-4.90E-08
754095463,track,25,0.002538193,0.002538155,-3.85E-08
754095463,track,30,0.002096865,0.002096838,-2.72E-08
754095463,track,35,0.001626852,0.001626835,-1.75E-08
754095463,track,40,0.00115724,0.001157233,-6.43E-09
754095463,track,45,0.00090459,0.000904586,-4.07E-09
754095463,track,50,0.000771698,0.000771696,-2.84E-09
754095463,track,60,0.00053339,0.000533388,-1.31E-09
28512639,motorway,5,0.00430836,0.004247314,-6.10E-05
28512639,motorway,10,0.001355557,0.001352392,-3.16E-06
28512639,motorway,15,0.001083337,0.001082182,-1.16E-06
28512639,motorway,20,0.000872103,0.000864034,-8.07E-06
28512639,motorway,25,0.000677857,0.000672318,-5.54E-06
28512639,motorway,30,0.000488227,0.000484216,-4.01E-06
28512639,motorway,35,0.000459264,0.00045532,-3.94E-06
28512639,motorway,40,0.000390742,0.000387244,-3.50E-06
28512639,motorway,45,0.000363821,0.000360888,-2.93E-06
28512639,motorway,50,0.000390443,0.000387499,-2.94E-06
28512639,motorway,60,0.000345216,0.000343133,-2.08E-06
26371569,motorway,5,0.006547101,0.006537286,-9.81E-06
26371569,motorway,10,0.003509588,0.003497774,-1.18E-05
26371569,motorway,15,0.00314967,0.003133463,-1.62E-05
26371569,motorway,20,0.002599304,0.002585016,-1.43E-05
26371569,motorway,25,0.002406378,0.002390737,-1.56E-05
26371569,motorway,30,0.002065539,0.002054186,-1.14E-05
26371569,motorway,35,0.001529419,0.001517483,-1.19E-05
26371569,motorway,40,0.000995343,0.00098915,-6.19E-06
26371569,motorway,45,0.000848141,0.000843004,-5.14E-06
26371569,motorway,50,0.000686531,0.000685099,-1.43E-06
26371569,motorway,60,0.000516289,0.000515358,-9.31E-07
31030379,motorway,5,0.005242015,0.005192822,-4.92E-05
31030379,motorway,10,0.003113195,0.003111494,-1.70E-06
31030379,motorway,15,0.001588233,0.001587495,-7.38E-07
31030379,motorway,20,0.001114929,0.001109167,-5.76E-06
31030379,motorway,25,0.000849248,0.000844344,-4.90E-06
31030379,motorway,30,0.00068789,0.000684342,-3.55E-06
31030379,motorway,35,0.000665459,0.00066233,-3.13E-06
31030379,motorway,40,0.000665975,0.00066525,-7.25E-07
31030379,motorway,45,0.000565738,0.00056516,-5.77E-07
31030379,motorway,50,0.000539421,0.000538907,-5.13E-07
31030379,motorway,60,0.00045043,0.000450095,-3.35E-07
52027879,tertiary,5,0.004371042,0.004331734,-3.93E-05
52027879,tertiary,10,0.00238904,0.002376605,-1.24E-05
52027879,tertiary,15,0.001723879,0.001712944,-1.09E-05
52027879,tertiary,20,0.001658481,0.001647883,-1.06E-05
52027879,tertiary,25,0.000930662,0.000925702,-4.96E-06
52027879,tertiary,30,0.000771051,0.000768445,-2.61E-06
52027879,tertiary,35,0.00063893,0.000636869,-2.06E-06
52027879,tertiary,40,0.00054742,0.0005458,-1.62E-06
52027879,tertiary,45,0.000433472,0.000432432,-1.04E-06
52027879,tertiary,50,0.000404349,0.000403472,-8.77E-07
52027879,tertiary,60,0.000437652,0.000437087,-5.65E-07
970235538,secondary,5,0.007911451,0.007862869,-4.86E-05
970235538,secondary,10,0.002289643,0.002288988,-6.55E-07
970235538,secondary,15,0.00174722,0.001746887,-3.33E-07
970235538,secondary,20,0.001082509,0.00108239,-1.19E-07
970235538,secondary,25,0.001229896,0.001229852,-4.43E-08
970235538,secondary,30,0.001290816,0.001290796,-2.03E-08
970235538,secondary,35,0.000965121,0.000965113,-7.76E-09
970235538,secondary,40,0.000900333,0.000900327,-5.87E-09
970235538,secondary,45,0.000854804,0.000854799,-4.60E-09
970235538,secondary,50,0.000788254,0.00078825,-3.57E-09
970235538,secondary,60,0.000621971,0.00062197,-1.67E-09
23750997,motorway,5,0.003711063,0.003698842,-1.22E-05
23750997,motorway,10,0.003976947,0.003974051,-2.90E-06
23750997,motorway,15,0.002853606,0.002853098,-5.08E-07
23750997,motorway,20,0.002273444,0.002259602,-1.38E-05
23750997,motorway,25,0.001831556,0.001820047,-1.15E-05
23750997,motorway,30,0.001503609,0.00149413,-9.48E-06
23750997,motorway,35,0.001156215,0.001148842,-7.37E-06
23750997,motorway,40,0.000961647,0.000960305,-1.34E-06
23750997,motorway,45,0.00067906,0.000678243,-8.16E-07
23750997,motorway,50,0.000582321,0.000581663,-6.58E-07
23750997,motorway,60,0.000452976,0.000452567,-4.08E-07
23750997,motorway,5,0.003711063,0.003698842,-1.22E-05
23750997,motorway,10,0.003976947,0.003974051,-2.90E-06
23750997,motorway,15,0.002853606,0.002853098,-5.08E-07
23750997,motorway,20,0.002273444,0.002259602,-1.38E-05
23750997,motorway,25,0.001831556,0.001820047,-1.15E-05
23750997,motorway,30,0.001503609,0.00149413,-9.48E-06
23750997,motorway,35,0.001156215,0.001148842,-7.37E-06
23750997,motorway,40,0.000961647,0.000960305,-1.34E-06
23750997,motorway,45,0.00067906,0.000678243,-8.16E-07
23750997,motorway,50,0.000582321,0.000581663,-6.58E-07
23750997,motorway,60,0.000452976,0.000452567,-4.08E-07
23750997,motorway,5,0.003711063,0.003698842,-1.22E-05
23750997,motorway,10,0.003976947,0.003974051,-2.90E-06
23750997,motorway,15,0.002853606,0.002853098,-5.08E-07
23750997,motorway,20,0.002273444,0.002259602,-1.38E-05
23750997,motorway,25,0.001831556,0.001820047,-1.15E-05
23750997,motorway,30,0.001503609,0.00149413,-9.48E-06
23750997,motorway,35,0.001156215,0.001148842,-7.37E-06
23750997,motorway,40,0.000961647,0.000960305,-1.34E-06
23750997,motorway,45,0.00067906,0.000678243,-8.16E-07
23750997,motorway,50,0.000582321,0.000581663,-6.58E-07
23750997,motorway,60,0.000452976,0.000452567,-4.08E-07
143085611,track,5,0.006224705,0.006186673,-3.80E-05
143085611,track,10,0.001995338,0.001994743,-5.95E-07
143085611,track,15,0.001462132,0.001461803,-3.29E-07
143085611,track,20,0.001109766,0.001109633,-1.33E-07
143085611,track,25,0.001365305,0.001365252,-5.36E-08
143085611,track,30,0.001327619,0.001327588,-3.18E-08
143085611,track,35,0.000955007,0.000954998,-9.76E-09
143085611,track,40,0.000879005,0.000878998,-7.05E-09
143085611,track,45,0.000878128,0.000878122,-5.65E-09
143085611,track,50,0.000773166,0.000773161,-4.18E-09
143085611,track,60,0.000603255,0.000603253,-1.98E-09
213795140,motorway,5,0.003529084,0.003511176,-1.79E-05
213795140,motorway,10,0.002027466,0.002015928,-1.15E-05
213795140,motorway,15,0.001873636,0.001868362,-5.27E-06
213795140,motorway,20,0.001092033,0.001076424,-1.56E-05
213795140,motorway,25,0.000803606,0.000793503,-1.01E-05
213795140,motorway,30,0.000755521,0.000746704,-8.82E-06
213795140,motorway,35,0.000620356,0.000613456,-6.90E-06
